Condition,Condition_Desc,Price,Location,Model_Year,Mileage,Exterior_Color,Make,Warranty,Model,Sub_Model,Type,Vehicle_Title,OBO,Feedback_Perc,Watch_Count,N_Reviews,Seller_Status,Vehicle_Tile,Auction,Buy_Now,Bid_Count
Used,"BEAUTIFUL 2007 FAT BOY WITH STAGE 1, VANCE AND HINES BIG RADIUS AND HIGH FLOW BREATHER, 2 UP MUSTANG ","$10,999 ","Orange, Virginia, United States",2007,"9,769",VIVID BLACK,Harley-Davidson,,Softail,,,,TRUE,100,,2,,Clear,FALSE,TRUE,
Used,,"$29,900 ","Romeoville, Illinois, United States",2009,"5,628",Yellow,Honda,,Gold Wing,,Standard,,TRUE,100,,1,Private Seller,Clear,FALSE,TRUE,
Used,,"$10,250 ","Long Beach, New York, United States",2010,"11,000",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,FATBOY LO,Standard,,FALSE,,2<,3,Private Seller,Clear,FALSE,TRUE,
Used,,"$6,500 ","Baton Rouge, Louisiana, United States",2006,"30,025",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Dyna,Street Bob,Cruiser,,TRUE,100,,70,Private Seller,Clear,FALSE,TRUE,
New,,"$8,399 ","Johnson Creek, Wisconsin, United States",2016,1,Silver,Yamaha,Unspecified,XSR900,,Naked,,TRUE,9.2,1<,5605,Dealer,Clear,FALSE,TRUE,
Used,,"$9,000 ","Loveland, Colorado, United States",2000,"61,000",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Other,Wide Glide,Cruiser,,FALSE,100,,1,Private Seller,Clear,FALSE,TRUE,
Used,,"$8,000 ","Calabash, North Carolina, United States",2002,"21,162",Red,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Deuce,Cruiser,,TRUE,100,2<,15,Private Seller,Clear,FALSE,TRUE,
Used,,"$2,685 ","Geneva, Illinois, United States",2008,0,Red,Honda,Vehicle does NOT have an existing warranty,CRF,CRF150R Expert Big Wheel,Off-Road,,TRUE,100,15,577,Private Seller,Clear,FALSE,TRUE,
Used,,"$13,888 ","Arlington, Texas, United States",2013,"4,685",White,Harley-Davidson,,Heritage Softail,,,,TRUE,100,1<,634,,Clear,FALSE,TRUE,
Used,,"$7,300 ","Walnut Cove, North Carolina, United States",2003,"11,878",silver/black,Harley-Davidson,,Softail,100th Anniversary,,,FALSE,100,,249,Private Seller,Clear,TRUE,FALSE,0
Used,"Excellent original condition, no chips. Scratches or flaws, runs like new.","$18,000 ","Baldwinsville, New York, United States",1997,"20,025",White,Harley-Davidson,Vehicle does NOT have an existing warranty,FLSTS,Heritage nostalgia springer (softtail),Cruiser,,TRUE,100,41,734,Private Seller,Clear,FALSE,TRUE,
Used,Beautiful color. Great condition. Runs/looks great.,"$6,995 ","Zieglerville, Pennsylvania, United States",2006,"15,871",Fire Red Pearl,Harley-Davidson,Unspecified,Dyna,FXDl,Cruiser,,TRUE,100,21,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$8,495 ","Dumfries, Virginia, United States",2012,"2,669",BIG FLAKE RED,Harley-Davidson,,Sportster,,Standard,,TRUE,,,35,Dealer,Clear,FALSE,TRUE,
Used,,"$9,900 ","Winona Lake, Indiana, United States",2010,24,Red,Honda,Vehicle does NOT have an existing warranty,CR,CRF250R,Off-Road,,TRUE,100,23,619,Private Seller,Clear,FALSE,TRUE,
Used,Great Condition,"$6,900 ","Durham, North Carolina, United States",1971,"16,000",Gold,BMW,Vehicle does NOT have an existing warranty,R-Series,,Sport Touring,,TRUE,100,4<,179,Private Seller,Clear,FALSE,TRUE,
Used,,"$18,500 ","Willmar, Minnesota, United States",2013,"26,000",Blue,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,ultra,Touring,,TRUE,100,3<,55,Private Seller,Clear,FALSE,TRUE,
Used,,"$10,988 ","Mansfield, Texas, United States",2010,"38,459",Other,Harley-Davidson,,Softail Deluxe,,,,TRUE,100,4<,661,,Clear,FALSE,TRUE,
Used,"Excellent condition, garage kept. Services and accessories were all performed at the local dealer.  ","$12,495 ","Los Angeles, California, United States",2011,"6,000",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,Cruiser,,FALSE,100,,619,Private Seller,Clear,TRUE,FALSE,0
Used,Very Good condition. Thousands in Extras!,"$7,495 ","Zieglerville, Pennsylvania, United States",2004,"27,209",2 Tone Vivid Black and Smokey Gold,Harley-Davidson,Unspecified,Softail,FLSTFI,Cruiser,,TRUE,100,24,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$12,999 ","Whittier, California, United States",1999,"31,697",Laser Red Metallic,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,FLSTS Heritage Springer Softail,FLSTS Heritage Springer,,TRUE,100,,347,Private Seller,Clear,FALSE,TRUE,
Used,Trike is used but in excellent condition.,"$16,900 ","Rome, Georgia, United States",2004,"18,335",Red,Harley-Davidson,,Heritage Softail,,Cruiser,,FALSE,100,2<,404,,Clear,FALSE,TRUE,
Used,Beautiful color. Good condition. Runs/looks great.,"$9,495 ","Zieglerville, Pennsylvania, United States",2012,"5,607",Big Blue Pearl,Harley-Davidson,Vehicle has an existing warranty,Dyna,Dyna Superglide Custom FXDC,Cruiser,,TRUE,100,11,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$7,555 ","Arlington, Texas, United States",2004,"33,782",Blue,Harley-Davidson,,Heritage Softail,,,,TRUE,100,2<,634,,Clear,FALSE,TRUE,
Used,,"$13,000 ","Otego, New York, United States",2008,"13,300",,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Cross Bones,,,FALSE,100,,443,Private Seller,Clear,TRUE,FALSE,0
Used,"This bike is low mileage 11,983 miles, garage kept and only one owner. Brand new tires with less ","$9,500 ","Virginia Beach, Virginia, United States",2008,"11,983",Silver,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,,Cruiser,,FALSE,,,24,Private Seller,Clear,TRUE,FALSE,0
Used,,"$8,950 ","Yuma, Arizona, United States",1974,39,Red/Silver,Honda,Vehicle does NOT have an existing warranty,CB,,Sport Touring,,TRUE,9.6,3<,611,Private Seller,Clear,FALSE,TRUE,
Used,,"$6,950 ","Newark, Delaware, United States",2005,"8,700",,Harley-Davidson,,Softail,,,,FALSE,100,,245,,Clear,TRUE,FALSE,0
Used,,"$12,888 ","Mansfield, Texas, United States",2014,"3,019",Red,Harley-Davidson,,Heritage Softail,,,,TRUE,100,2<,661,,Clear,FALSE,TRUE,
Used,,"$11,500 ","Painesville, Ohio, United States",2010,"12,000",Purple,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Fatboy,Cruiser,,TRUE,100,3<,121,Private Seller,Clear,FALSE,TRUE,
Used,,"$1,995 ","Portland, Oregon, United States",1971,"1,320",Red,Harley-Davidson,Vehicle does NOT have an existing warranty,Sprint SX,SX,Dual-Purpose,,FALSE,100,23,2467,Owner,Clear,TRUE,TRUE,0
Used,,"$10,000 ","Cloquet, Minnesota, United States",2010,"37,000",red/black,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,Touring,,FALSE,100,1<,281,Private Seller,Clear,FALSE,TRUE,
Used,,"$9,000 ","Quakertown, Pennsylvania, United States",2010,"17,130",Blue,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,Road King,Touring,,FALSE,,,53,Private Seller,Clear,TRUE,FALSE,0
Used,,"$19,999 ","Dallas, North Carolina, United States",2010,"21,800",Burgundy,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,Ultra Classis,Trike,,FALSE,100,,7,Private Seller,Clear,FALSE,TRUE,
Used,,"$12,900 ","Long Beach, California, United States",2010,"9,880",Pearl White/Chamleon Pearl,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,Bagger,,TRUE,100,,609,Private Seller,Clear,FALSE,TRUE,
Used,Runs great. Great looking bike. Thousands in Extras. Sold as-is.,"$2,695 ","Zieglerville, Pennsylvania, United States",1989,"25,019",Vivid Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Sportster,Sportster XL1200,Cruiser,,TRUE,100,55,297819,Dealer,Clear,FALSE,TRUE,
Used,"very clean, like new and low mileage trike!!!!!","$23,900 ","Lima, Ohio, United States",2002,"55,479",Orange,Honda,no,Gold Wing,honda goldwing trike,trike,,TRUE,100,11,1645,Dealer,Clear,FALSE,TRUE,
Used,,"$42,500 ","Lubbock, Texas, United States",2014,"5,200",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Breakout,Cruiser,,FALSE,100,,23,Private Seller,Clear,TRUE,TRUE,0
Used,,"$6,990 ","Bostic, North Carolina, United States",2002,"5,000",Black,Harley-Davidson,,Sportster,XL1200,,,TRUE,100,5<,507,Private Seller,Clear,FALSE,TRUE,
Used,,"$8,250 ","Providence, Kentucky, United States",2002,"46,847",Pearl White,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,FLHTCUI,Touring,,FALSE,100,,22,OWNER,Clear,TRUE,FALSE,0
Used,,"$21,615 ","Troy, New York, United States",2017,2,ESPRESSO METALLIC,BMW,,R-Series,,Sport Touring,,TRUE,9.2,3<,1742,Dealer,Clear,FALSE,TRUE,
Used,2002 HD Softail Good Condition,"$4,500 ","Cameron, Missouri, United States",2002,"34,852",Stars&amp;stripes,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Standard,Cruiser,,FALSE,100,,5,Private Seller,Clear,TRUE,FALSE,0
Used,Beautiful bike. Runs great. Extras.  LCD speedo is garbled and was very common in that era. Its ,"$5,495 ","Zieglerville, Pennsylvania, United States",1998,"25,014",2-Tone Red and Black,Harley-Davidson,Unspecified,Dyna,FXDWG Dyna Wide Glide,Cruiser,,TRUE,100,16,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$5,500 ","De Witt, Iowa, United States",2014,"9,900",Green,Kawasaki,,Ninja,,Sport Touring,,TRUE,,8<,12,Private Seller,Clear,FALSE,TRUE,
Used,,"$8,995 ","Daytona Beach, Florida, United States",2016,344,,Harley-Davidson,,Forty-Eight?,,,FALSE,100,,2715,,Clear,FALSE,TRUE,,
Used,,"$13,000 ","Scottsdale, Arizona, United States",2014,"3,930",White,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,,Softail,,TRUE,100,5<,136,Dealer,Clear,FALSE,TRUE,
Used,Here is  a Good Condition Fully Dressed Dual Tourer R Series BMW 1100 RT.,"$3,500 ","Silver Spring, Maryland, United States",2000,"54,800",Black,BMW,Vehicle does NOT have an existing warranty,R-Series,R1100RT,Touring,,TRUE,100,10,61,Private Seller,Clear,FALSE,TRUE,
Used,"Bike runs and looks great, great sounding bike.","$7,999 ","Orange, VA, United States",2005,"19,456",Black Cherry Pearl/Black Pearl,Harley-Davidson,Vehicle does NOT have an existing warranty,Dyna,,Cruiser,,TRUE,100,1<,2,Dealer,Clear,FALSE,TRUE,
Used,,$565 ,"Grove City, Ohio, United States",1975,"14,000",Blue,Honda,,CB,360 T,,,FALSE,>90,,68,Private Seller,Clear,TRUE,FALSE,3
New,,"$6,399 ","Kaukauna, Wisconsin, United States",2014,2,Red,Honda,Vehicle has an existing warranty,Interceptor,,Sport Touring,,FALSE,9.9,22,32557,Dealer,Clear,FALSE,TRUE,
Used,,"$23,299 ","Winston-Salem, North Carolina, United States",2016,"11,670",MYS Red,Harley-Davidson,,Touring,,Standard,,FALSE,100,,635,Dealer,Clear,FALSE,TRUE,
Used,"Great shape, extremely well maintained, nothing wrong at all. All recalls have been completed at the ","$15,600 ","Groveport, Ohio, United States",2015,"1,350",Gray,Other Makes,Unspecified,Slingshot,,,,TRUE,9.2,18,106163,Dealer,Clear,FALSE,TRUE,
Used,,"$15,603 ","McHenry, Illinois, United States",2014,"24,041",Blue,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,Touring,,FALSE,100,7<,117,Dealer,Clear,TRUE,TRUE,6
Used,bike is in excellent condition. Very fast bike to give you a heads up.,"$9,999 ","Orange, VA, United States",2009,"31,152",Vivid Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Dyna,,Cruiser,,TRUE,100,,2,Dealer,Clear,FALSE,TRUE,
Used,,"$22,900 ","Arlington, Tennessee, United States",2016,"8,500",,Harley-Davidson,,Touring,FLTRXS,Touring,,TRUE,100,,655,,Clear,FALSE,TRUE,
Used,,"$8,995 ","Orlando, Florida, United States",2016,344,,Harley-Davidson,,Forty-Eight?,Manual,,FALSE,,2<,227,,Clear,FALSE,TRUE,,
Used,"Rarely ridden.  This bike has lived it&#039;s life indoors and has extremely low miles @ 6,654.  This ","$7,000 ","Georgetown, South Carolina, United States",2003,"6,654",Blue,Harley-Davidson,As is where is,Softail,&#034;DEUCE&#034; 100th Anniversary,Standard,,FALSE,100,,36,Private Seller,Clear,TRUE,FALSE,0
Used,,"$8,795 ","North Brookfield, Massachusetts, United States",2003,"6,600",,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,,,,FALSE,100,2<,502,,Clear,FALSE,TRUE,
Used,VERY GOOD CONDITION,"$11,000 ","Havertown, Pennsylvania, United States",2013,"10,200",Black,Harley-Davidson,,Softail,,,,TRUE,100,,275,Private Seller,Clear,FALSE,TRUE,
Used,Very Nice Condition,"$9,300 ","Buda, Texas, United States",2013,"6,846",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Slim,,,TRUE,100,1<,1328,Private Seller,Clear,FALSE,TRUE,
Used,,"$9,000 ","Holly Ridge, North Carolina, United States",1978,300,metallic green,Kawasaki,Vehicle does NOT have an existing warranty,Other,KZ,,,FALSE,100,31,58,Private Seller,Clear,FALSE,TRUE,
Used,Runs great. Clean clear title. Please read full description below.,"$7,995 ","Zieglerville, Pennsylvania, United States",2001,"25,003",Vivid Black,Harley-Davidson,Unspecified,Dyna,FXDXT T-Sport,Cruiser,,TRUE,100,19,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$12,988 ","Arlington, Texas, United States",2014,"6,447",Gray,Harley-Davidson,,Softail Slim,,,,TRUE,100,,634,,Clear,FALSE,TRUE,
Used,"BEAUTIFUL 2015 DYNA SWITCHBACK, ABS, SECURITY,         ONLY 2093 MILES, QUICK DETACH WINDSHIELD, ","$13,999 ","Orange, Virginia, United States",2015,"2,097",SUPERIOR BLUE,Harley-Davidson,Vehicle has an existing warranty,Dyna,,Touring,,TRUE,100,2<,2,Dealer,Clear,FALSE,TRUE,
New,,"$5,299 ","Jonesboro, Arkansas, United States",2012,0,Green,Kawasaki,Vehicle has an existing warranty,Ninja,NINJA EX650 650R,Sport Bike,,FALSE,100,22,292,Dealer,Clear,FALSE,TRUE,
Used,,"$3,000 ","Morgantown, West Virginia, United States",1979,"30,000",Black,Harley-Davidson,,Sportster,,,,FALSE,100,,180,Private Seller,Clear,TRUE,FALSE,2
Used,Very clean custom Softail Deuce.,"$8,500 ","Bradenton, Florida, United States",2001,"23,600",Red,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Deuce,Touring,,TRUE,100,2<,306,Private Seller,Clear,FALSE,TRUE,
Used,,"$3,500 ","Richmond Hill, New York, United States",1975,"6,957",Green,Honda,Vehicle does NOT have an existing warranty,Other,,,,FALSE,100,3<,65,Private Seller,Clear,FALSE,TRUE,
Used,,"$7,770 ","Los Angeles, California, United States",2001,"65,000",,Harley-Davidson,,Other,,,,FALSE,100,,11,,Clear,FALSE,TRUE,
Used,,"$2,950 ","Jackson, Michigan, United States",2005,"4,550",Silver,Honda,Vehicle does NOT have an existing warranty,Reflex,Scooter,Cruiser,,TRUE,100,2<,33,Private Seller,Clear,FALSE,TRUE,
Used,Beautiful BIke. Runs great. Extras &amp; upgrades.,"$7,995 ","Zieglerville, Pennsylvania, United States",2009,"24,911",Vivid Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Dyna,Fatbob FXDF,Cruiser,,TRUE,100,7<,297819,Dealer,Clear,FALSE,TRUE,
Used,,$455 ,"Hanahan, South Carolina, United States",1973,"2,926",Blue,Yamaha,Vehicle does NOT have an existing warranty,Other,,Off-Road,,FALSE,100,74,66,Private Seller,Clear,TRUE,TRUE,15
Used,Excellent Condition with only 2184 miles.,"$13,900 ","Temple City, California, United States",2008,"2,184",Black with Red Ghost Flames,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,,Sport Bike,,TRUE,100,3<,302,Private Seller,Clear,FALSE,TRUE,
Used,,"$4,250 ","Erie, Pennsylvania, United States",2003,"5,420",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Sportster,XL883,Cruiser,,TRUE,100,3<,471,Private Seller,Clear,FALSE,TRUE,
Used,,"$4,500 ","Abilene, Kansas, United States",1964,1,Black Metal flake,Harley-Davidson,Vehicle does NOT have an existing warranty,Sportster,XLH,Iron Head,,FALSE,100,,145,Private Seller,Clear,TRUE,FALSE,0
Used,Very clean original condition,"$1,225 ","Somers Point, New Jersey, United States",1972,"19,363",Gold,Honda,Vehicle does NOT have an existing warranty,CB,,Sport Bike,,FALSE,100,,336,Private Seller,Clear,TRUE,FALSE,18
New,,"$10,494 ","Muskegon, Michigan, United States",2016,0,Candy Lime Green/Metallic Spark Black,Kawasaki,,Versys?,Standard,,FALSE,100,1<,1019,Dealer,Clear,FALSE,TRUE,,
Used,,"$8,988 ","Tulsa, Oklahoma, United States",2010,"42,800",Red,Harley-Davidson,,Touring,,Touring,,FALSE,100,6<,179,Dealer,Clear,FALSE,TRUE,
Used,,"$7,500 ","San Carlos, California, United States",2011,"10,000",,Harley-Davidson,,Sportster,Nightster,,,TRUE,100,1<,1,Private Seller,Clear,FALSE,TRUE,
Used,,"$9,000 ","Loveland, Colorado, United States",2000,"61,000",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Other,Wide Glide,Cruiser,,FALSE,100,,1,Private Seller,Clear,FALSE,TRUE,
Used,,"$2,400 ","Muskegon, Michigan, United States",1994,"23,500",White,Yamaha,Vehicle does NOT have an existing warranty,YZF-R,YZF750R,Sport Bike,,FALSE,100,,765,Private Seller,Clear,TRUE,FALSE,0
Used,,"$13,888 ","Arlington, Texas, United States",2013,"4,685",White,Harley-Davidson,,Heritage Softail,,,,TRUE,100,1<,634,,Clear,FALSE,TRUE,
Used,"This bike is in realy nice condition, it is blue and black and it has 15,500 miles on it,I only put ","$7,500 ","Haledon, New Jersey, United States",2004,"15,500",Blue,Harley-Davidson,None,Softail,,,,TRUE,100,,509,Private Seller,Clear,FALSE,TRUE,
Used,"Excellent original condition, no chips. Scratches or flaws, runs like new.","$18,000 ","Baldwinsville, New York, United States",1997,"20,025",White,Harley-Davidson,Vehicle does NOT have an existing warranty,FLSTS,Heritage nostalgia springer (softtail),Cruiser,,TRUE,100,41,734,Private Seller,Clear,FALSE,TRUE,
Used,,"$24,750 ","Hermiston, Oregon, United States",2011,"10,661",,Harley-Davidson,,Touring,TRI GLIDE,Touring,,TRUE,100,1<,33,,Clear,FALSE,TRUE,
Used,,"$10,988 ","Mansfield, Texas, United States",2010,"38,459",Other,Harley-Davidson,,Softail Deluxe,,,,TRUE,100,4<,661,,Clear,FALSE,TRUE,
Used,,"$15,499 ","Bluefield, West Virginia, United States",2013,"27,184",Vivid Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,,,FALSE,,1<,3843,Dealer,Clear,FALSE,TRUE,
Used,Excellent condition. Runs great.,"$8,995 ","Zieglerville, Pennsylvania, United States",2010,"39,487",Vivid Black,Harley-Davidson,Unspecified,Softail,FLSTC,Cruiser,,TRUE,100,15,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$1,525 ","Brighton, Colorado, United States",2013,"4,329",Black,Harley-Davidson,,Sportster,,Standard,,FALSE,100,3<,666,Private Seller,Clear,TRUE,TRUE,2
Used,Runs good - Looks good - Clean bike - feel free to make an offer!,"$4,950 ","Blackwood, New Jersey, United States",2004,"13,650",,Harley-Davidson,,Sportster,,,,TRUE,100,1<,6,,Clear,FALSE,TRUE,
Used,Trike is used but in excellent condition.,"$16,900 ","Rome, Georgia, United States",2004,"18,335",Red,Harley-Davidson,,Heritage Softail,,Cruiser,,FALSE,100,2<,404,,Clear,FALSE,TRUE,
Used,,"$12,000 ","Phoenix, Arizona, United States",2008,"7,813",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Custom,Cruiser,,TRUE,100,,15,Private Seller,Clear,FALSE,TRUE,
Used,,"$14,050 ","Brooklyn, New York, United States",2014,"12,300",Black,Honda,Vehicle does NOT have an existing warranty,Other,F6b,Touring,,FALSE,100,5<,145,Private Seller,Clear,TRUE,TRUE,0
Used,,"$7,555 ","Arlington, Texas, United States",2004,"33,782",Blue,Harley-Davidson,,Heritage Softail,,,,TRUE,100,2<,634,,Clear,FALSE,TRUE,
New,,"$18,599 ","Searcy, Arkansas, United States",2016,5,Silver,Honda,Vehicle has an existing warranty,Gold Wing,GL1800 Audio Comfort,Touring,,FALSE,100,5<,35,Dealer,Clear,FALSE,TRUE,
Used,,"$12,888 ","Mansfield, Texas, United States",2014,"3,019",Red,Harley-Davidson,,Heritage Softail,,,,TRUE,100,2<,661,,Clear,FALSE,TRUE,
Used,Bike is in like new condition,"$1,990 ","Akron, Ohio, United States",2011,"2,000",Black,Honda,Vehicle does NOT have an existing warranty,Other,,Sport Bike,,FALSE,100,,352,Private Seller,Clear,TRUE,FALSE,0
Used,,"$1,995 ","Portland, Oregon, United States",1971,"1,320",Red,Harley-Davidson,Vehicle does NOT have an existing warranty,Sprint SX,SX,Dual-Purpose,,FALSE,100,23,2467,Owner,Clear,TRUE,TRUE,0
Used,,"$8,700 ","Blakeslee, Pennsylvania, United States",2013,"2,121",Blue,Kawasaki,Vehicle has an existing warranty,Other,,,,TRUE,100,8<,157,Private Seller,Clear,FALSE,TRUE,
Used,Bike runs and looks great.,"$8,499 ","Orange, VA, United States",2004,"29,771",Vivid Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,Touring,,FALSE,100,,2,Dealer,Clear,FALSE,TRUE,
Used,,"$42,500 ","Lubbock, Texas, United States",2014,"5,200",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Breakout,Cruiser,,FALSE,100,,23,Private Seller,Clear,TRUE,TRUE,0
Used,,"$12,000 ","Auburn, Michigan, United States",2002,"90,849",Orange,Honda,Vehicle does NOT have an existing warranty,Gold Wing,,Trike,,FALSE,100,4<,9,Private Seller,Clear,TRUE,TRUE,0
Used,,"$21,615 ","Troy, New York, United States",2017,2,ESPRESSO METALLIC,BMW,,R-Series,,Sport Touring,,TRUE,9.2,3<,1742,Dealer,Clear,FALSE,TRUE,
Used,2002 HD Softail Good Condition,"$4,500 ","Cameron, Missouri, United States",2002,"34,852",Stars&amp;stripes,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,Standard,Cruiser,,FALSE,100,,5,Private Seller,Clear,TRUE,FALSE,0
Used,,"$13,000 ","Groton, New York, United States",2005,"48,300",BLACK CHERRY PREAL,Harley-Davidson,,Touring,,Cruiser,,FALSE,100,,272,Private Seller,Clear,TRUE,FALSE,0
Used,Beautiful bike. Runs great. Extras.  LCD speedo is garbled and was very common in that era. Its ,"$5,495 ","Zieglerville, Pennsylvania, United States",1998,"25,014",2-Tone Red and Black,Harley-Davidson,Unspecified,Dyna,FXDWG Dyna Wide Glide,Cruiser,,TRUE,100,16,297819,Dealer,Clear,FALSE,TRUE,
Used,,"$3,500 ","Middleton, Wisconsin, United States",2010,"3,233",,Other Makes,,,,,,TRUE,,8<,426,,Clear,FALSE,TRUE,
Used,,$710 ,"Killeen, Texas, United States",1982,"46,000",Brown,Honda,,CB,Coustom,,,FALSE,100,,53,Private Seller,Clear,TRUE,FALSE,63
New,,"$13,987 ","South Haven, Michigan, United States",2016,1,Gray and Ebony Metallic 2 tone,Kawasaki,Vehicle has an existing warranty,Vulcan,Vulcan 1700 Voyager ABS,Touring,,FALSE,100,,876,Dealer,Clear,TRUE,FALSE,0
Used,,"$8,995 ","Daytona Beach, Florida, United States",2016,344,,Harley-Davidson,,Forty-Eight?,,,FALSE,100,,2715,,Clear,FALSE,TRUE,,
Used,,"$13,000 ","Scottsdale, Arizona, United States",2014,"3,930",White,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,,Softail,,TRUE,100,5<,136,Dealer,Clear,FALSE,TRUE,
Used,Here is  a Good Condition Fully Dressed Dual Tourer R Series BMW 1100 RT.,"$3,500 ","Silver Spring, Maryland, United States",2000,"54,800",Black,BMW,Vehicle does NOT have an existing warranty,R-Series,R1100RT,Touring,,TRUE,100,10,61,Private Seller,Clear,FALSE,TRUE,
Used,"Street legal, dirt capable, ready to run.  Has some dents and scrapes, but runs good and strong.","$1,000 ","Gratiot, Wisconsin, United States",1984,"4,350",Red,Honda,Vehicle does NOT have an existing warranty,XL,,Dual-Purpose,,FALSE,100,,197,Private Seller,Clear,TRUE,FALSE,0
Used,"Bike runs and looks great, great sounding bike.","$7,999 ","Orange, VA, United States",2005,"19,456",Black Cherry Pearl/Black Pearl,Harley-Davidson,Vehicle does NOT have an existing warranty,Dyna,,Cruiser,,TRUE,100,1<,2,Dealer,Clear,FALSE,TRUE,
Used,,"$12,388 ","Mansfield, Texas, United States",2011,"14,702",Black,Harley-Davidson,,Softail Deluxe,,,,TRUE,100,1<,661,,Clear,FALSE,TRUE,
New,,"$19,498 ","Rockingham, North Carolina, United States",2016,0,SILVER,Honda,Vehicle has an existing warranty,Gold Wing,GL1800,Touring,,FALSE,100,1<,903,Dealer,Clear,FALSE,TRUE,
New,,"$35,985 ","Russellville, Arkansas, United States",2016,5,Orange,Honda,Vehicle has an existing warranty,Gold Wing,GL1800 &#034;HR Signature Series&#034;,Touring,,FALSE,9.8,1<,21591,Dealer,Clear,FALSE,TRUE,
New,,"$34,985 ","Russellville, Arkansas, United States",2016,5,Black / Gray,Honda,Vehicle has an existing warranty,Gold Wing,GL1800 &#034;HR Signature Series&#034;,Touring,,FALSE,9.8,,21591,Dealer,Clear,FALSE,TRUE,
New,,"$34,985 ","Russellville, Arkansas, United States",2016,5,Red,Honda,Vehicle has an existing warranty,Gold Wing,GL1800 &#034;HR Signature Series&#034;,Touring,,FALSE,9.8,,21591,Dealer,Clear,FALSE,TRUE,
New,,"$16,985 ","Russellville, Arkansas, United States",2016,0,Orange,Honda,Vehicle has an existing warranty,Gold Wing,F6B,Touring,,FALSE,9.8,1<,21591,Dealer,Clear,FALSE,TRUE,
New,,"$18,677 ","Russellville, Arkansas, United States",2016,0,,Honda,Vehicle has an existing warranty,Gold Wing,Level 1 (Audio/Comfort Model),Touring,,FALSE,9.8,,21591,Dealer,Clear,FALSE,TRUE,
Used,,"$18,500 ","Land O&#039; Lakes, Florida, United States",2013,"6,065",Red,Harley-Davidson,Vehicle does NOT have an existing warranty,Touring,,Touring,,TRUE,2.3,,196,Private Seller,Clear,FALSE,TRUE,
Used,,"$7,800 ","Hernando, Mississippi, United States",2003,"22,000",Silver,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,FXSTD,Cruiser,,FALSE,100,,49,Private Seller,Clear,TRUE,TRUE,0
Used,,"$5,250 ","Manhattan Beach, California, United States",1996,"15,676",Red,BMW,Vehicle does NOT have an existing warranty,R-Series,R1100 RSP (painted bags),Sport Touring,,TRUE,100,14,21,Private Seller,Clear,FALSE,TRUE,
Used,,"$12,000 ","Washington, Illinois, United States",2015,"1,300",Blue,Yamaha,Remaining Factory warranty 10/mo,YZF-R,,Sport Bike,,TRUE,100,1<,34,Private Seller,Clear,FALSE,TRUE,
Used,,"$17,000 ","Groves, Texas, United States",2013,"8,000",Black,Harley-Davidson,Vehicle does NOT have an existing warranty,Softail,,Cruiser,,FALSE,,,4,Private Seller,Clear,FALSE,TRUE,
